Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal),cluster,PC1,PC2,PC3
47,Female,64.4,1.75,169.0,136.0,57.0,1.39,Strength,9.0,3.9,7,Expert,21.1,6.0,0.7053571428571429,4.232142857142858,378.8,3,3.8989671796489893,-0.8882389006621421,-0.27675470416235814
55,Male,74.6,1.77,171.0,149.0,81.0,0.56,Mixed,24.7,4.3,3,Beginner,23.8,8.0,0.7555555555555555,6.044444444444444,252.5,1,-1.3309471682250333,-1.482507691075197,0.7172740663844192
19,Male,50.3,1.67,205.0,184.0,66.0,0.44,HIIT,16.1,2.5,5,Intermediate,18.0,9.5,0.8489208633093526,8.06474820143885,178.5,2,-0.8010203901811691,3.2249369582102956,-2.01776247247356
38,Male,83.0,1.7,178.0,163.0,77.0,0.84,HIIT,29.1,3.8,3,Beginner,28.6,9.5,0.8514851485148515,8.089108910891088,564.0,2,-1.4835080896411144,0.21747295473331565,1.5328059199178363
50,Female,38.6,1.46,174.0,143.0,73.0,0.25,Strength,29.8,2.5,3,Beginner,18.0,6.0,0.693069306930693,4.158415841584159,40.1,1,-2.602471610819257,-1.5794329701127812,-3.48175215829582
29,Male,48.3,1.64,186.0,157.0,71.0,0.58,Mixed,21.2,3.9,3,Beginner,18.0,8.0,0.7478260869565218,5.982608695652174,167.6,2,-0.8797732957741385,0.828047141538322,-2.1827497096579895
39,Male,89.4,1.78,188.0,171.0,74.0,0.27,HIIT,17.1,2.6,3,Beginner,28.2,9.5,0.8508771929824561,8.083333333333334,195.1,2,-2.1129588744552095,0.8682708968362408,2.1202361666391014
42,Female,85.0,1.64,184.0,155.0,67.0,0.8,Mixed,25.8,3.9,5,Intermediate,31.7,8.0,0.7521367521367521,6.017094017094017,409.2,2,0.12128761211070443,0.2568879029811361,1.8620198952100364
44,Female,58.9,1.61,181.0,153.0,68.0,0.87,Mixed,14.4,4.4,4,Advanced,22.8,8.0,0.7522123893805309,6.017699115044247,308.4,0,1.1614573698221071,0.02321858806264519,-0.9772960923348424
59,Female,86.0,1.9,153.0,115.0,70.0,0.69,Yoga,24.2,4.0,5,Intermediate,23.8,3.0,0.5421686746987951,1.6265060240963851,96.5,3,0.5439767027679708,-3.459985052321819,1.95144430593657
45,Female,95.8,1.86,172.0,129.0,77.0,0.6,Yoga,31.4,3.5,5,Intermediate,27.6,3.0,0.5473684210526316,1.642105263157895,94.4,1,-1.1119465278923213,-1.548564240759672,2.8006780073094126
33,Female,75.0,1.73,184.0,129.0,60.0,1.0,Yoga,22.6,4.4,7,Advanced,25.2,3.0,0.5564516129032258,1.6693548387096773,125.2,3,2.2519298438729294,0.06371634594357761,0.7756661052269486
32,Female,72.4,1.79,185.0,153.0,55.0,1.645,Mixed,11.1,5.0,6,Expert,22.5,8.0,0.7538461538461538,6.030769230769231,737.9,0,4.245372384864613,1.291405888904746,0.4967046054412221
20,Male,46.9,1.46,205.0,158.0,72.0,0.89,Cardio,20.6,3.5,3,Intermediate,22.1,7.0,0.6466165413533834,4.526315789473684,188.9,0,-0.589147363527595,2.3024779401859523,-2.4404303256588715
54,Male,46.2,1.6,157.0,135.0,69.0,1.25,Mixed,14.7,4.3,7,Expert,18.0,8.0,0.75,6.0,346.5,3,2.927783196875643,-2.0418817849618867,-2.324141125003437
24,Male,66.5,1.63,198.0,179.0,72.0,0.87,HIIT,20.9,2.9,5,Intermediate,24.9,9.5,0.8492063492063492,8.067460317460318,466.7,2,-0.5447518600278378,2.55863109720714,-0.2542720455993221
38,Male,64.8,1.66,186.0,167.0,60.0,1.22,HIIT,18.7,3.8,6,Advanced,23.6,9.5,0.8492063492063492,8.067460317460318,637.8,0,2.0096487920236576,1.1920989843392715,-0.34522789330721193
26,Female,59.2,1.63,190.0,172.0,65.0,0.91,HIIT,24.6,3.3,3,Intermediate,22.2,9.5,0.856,8.132,438.1,2,-0.5915445459253927,1.7697392857785528,-1.0522524909611783
56,Male,42.0,1.45,167.0,133.0,70.0,1.29,Cardio,12.6,3.2,7,Expert,20.0,7.0,0.6494845360824743,4.546391752577319,246.3,3,2.4807108988357225,-1.7772560215129785,-2.9187142266025035
35,Female,60.2,1.72,187.0,151.0,68.0,0.37,Strength,18.6,2.7,4,Intermediate,20.4,6.0,0.6974789915966386,4.184873949579831,93.2,2,-0.9875371239124049,0.3870825886197713,-0.8530650456660921
21,Female,79.6,1.73,198.0,163.0,60.0,1.01,Mixed,19.7,4.2,5,Advanced,26.5,8.0,0.7463768115942029,5.971014492753623,480.0,0,1.3500205923171227,2.4245353432274697,1.1391803231761841
42,Male,93.2,1.84,183.0,135.0,76.0,0.63,Yoga,22.1,3.6,5,Intermediate,27.5,3.0,0.5514018691588785,1.6542056074766354,97.1,2,-0.37534521991449704,-0.5382447200081235,2.56616328388693
31,Male,58.2,1.6,186.0,167.0,59.0,1.35,HIIT,9.0,3.8,5,Expert,22.7,9.5,0.8503937007874016,8.078740157480315,634.7,0,2.685111693011128,1.6492151565864899,-1.0841266297851007
26,Female,56.5,1.59,199.0,178.0,55.0,1.16,HIIT,18.3,3.7,7,Expert,22.3,9.5,0.8541666666666666,8.114583333333332,531.8,0,2.2686196280053483,2.819893479136277,-1.3376249267619553
43,Female,43.3,1.45,178.0,150.0,85.0,0.81,Strength,26.3,3.3,3,Beginner,20.6,6.0,0.6989247311827957,4.193548387096774,147.1,1,-1.9029243230530595,-0.6391225764755739,-2.868357895556059
19,Female,75.6,1.65,199.0,161.0,73.0,0.57,Strength,26.6,3.4,5,Intermediate,27.7,6.0,0.6984126984126984,4.19047619047619,180.6,2,-1.1527022240607696,2.149977247861098,0.7361976826656257
37,Female,75.6,1.77,182.0,148.0,67.0,0.83,Strength,28.7,3.7,3,Beginner,24.1,6.0,0.7043478260869566,4.22608695652174,265.2,2,-0.8244503628561068,-0.016063517554565452,0.7539914116143407
45,Male,66.8,1.62,168.0,147.0,82.0,0.8,Mixed,20.3,4.2,3,Beginner,25.5,8.0,0.7558139534883721,6.046511627906977,323.1,1,-0.7596498760281563,-1.0981729205628945,-0.08525506423839783
24,Female,91.3,1.89,194.0,173.0,55.0,1.35,HIIT,19.2,3.6,7,Expert,25.4,9.5,0.8489208633093526,8.06474820143885,994.0,0,2.45849136233805,2.615764162474864,2.291374101397566
25,Male,62.3,1.65,189.0,146.0,64.0,0.87,Cardio,17.9,3.2,4,Intermediate,22.8,7.0,0.656,4.5920000000000005,248.9,0,0.3771465936644886,1.0283110269594349,-0.6548194845079359
52,Female,55.5,1.69,169.0,133.0,66.0,1.01,Cardio,24.3,3.1,3,Intermediate,19.3,7.0,0.6504854368932039,4.553398058252427,255.2,1,0.017295022837404153,-1.847419555634085,-1.3303559875198712
31,Female,47.7,1.54,194.0,158.0,75.0,1.06,Strength,25.0,3.8,7,Advanced,20.0,6.0,0.6974789915966386,4.184873949579831,211.6,0,0.6836385511885437,1.3864807081877162,-2.3428257228150997
34,Female,83.2,1.71,188.0,150.0,80.0,0.95,Cardio,23.8,3.1,4,Intermediate,28.5,7.0,0.6481481481481481,4.537037037037037,358.6,2,-1.0044793149256064,0.5403986914028915,1.5666484900571611
53,Male,46.3,1.48,163.0,141.0,72.0,0.67,Mixed,24.0,4.5,2,Beginner,21.1,8.0,0.7582417582417582,6.065934065934066,188.2,1,-0.5920762645933346,-2.0192462603372814,-2.4333569304717355
57,Female,68.4,1.75,162.0,134.0,84.0,0.54,Cardio,25.8,2.3,2,Beginner,22.4,7.0,0.6410256410256411,4.487179487179487,165.7,1,-2.798963811924594,-2.7443374872431545,0.06086459409628296
21,Male,59.8,1.75,200.0,158.0,59.0,1.14,Strength,13.9,3.9,3,Intermediate,19.5,6.0,0.7021276595744681,4.212765957446809,287.2,0,1.302211304070338,2.291341728033701,-0.8679311546698539
19,Male,63.1,1.82,203.0,160.0,80.0,0.69,Cardio,20.7,2.8,2,Beginner,19.1,7.0,0.6504065040650406,4.5528455284552845,198.2,2,-2.2726327715772596,2.124695088966149,-0.5070666302632468
23,Male,52.1,1.58,205.0,187.0,82.0,0.55,HIIT,25.0,3.1,2,Beginner,20.9,9.5,0.8536585365853658,8.109756097560975,232.4,2,-2.9797342605791153,2.8299395142624078,-1.889093705777039
59,Female,88.5,1.7,164.0,144.0,83.0,0.83,Mixed,25.8,4.4,3,Beginner,30.8,8.0,0.7530864197530864,6.024691358024692,442.5,1,-1.0197468757984671,-2.0957394357936203,2.2236361705840206
21,Male,80.3,1.74,200.0,165.0,60.0,1.52,Mixed,16.3,4.0,7,Expert,26.6,8.0,0.75,6.0,732.3,0,2.9143106755993555,2.8428863134470785,1.2673964088263783
46,Male,65.1,1.72,175.0,150.0,78.0,0.25,Mixed,22.8,3.6,3,Beginner,21.9,8.0,0.7422680412371134,5.938144329896907,96.6,1,-1.9319752201618614,-0.9081702534492412,-0.32549963055819714
35,Female,71.9,1.59,183.0,165.0,61.0,1.06,HIIT,16.7,4.0,5,Advanced,28.3,9.5,0.8524590163934426,8.098360655737704,617.2,0,1.6130158143679147,1.1018047064258507,0.42871143779791887
43,Female,49.2,1.45,177.0,161.0,70.0,0.7,HIIT,26.8,2.8,4,Intermediate,23.4,9.5,0.8504672897196262,8.07943925233645,278.3,1,-1.0988850077025494,-0.18591999984912763,-2.145044512627255
51,Male,86.5,1.71,173.0,158.0,74.0,1.08,HIIT,25.4,3.4,2,Beginner,29.4,9.5,0.8484848484848485,8.06060606060606,753.0,1,-1.0262617427170753,-0.7715568560840196,1.9062692707160482
27,Male,91.0,1.66,189.0,135.0,69.0,1.14,Yoga,19.5,4.3,5,Intermediate,32.8,3.0,0.55,1.65,171.2,3,1.2996950647138665,0.7672374294869537,2.4731526890688906
53,Female,74.1,1.62,169.0,146.0,76.0,0.56,Mixed,15.6,3.4,5,Intermediate,28.1,8.0,0.7526881720430108,6.021505376344086,249.9,1,-0.11211751070630824,-1.372623043039698,0.6943646143459191
31,Male,75.2,1.76,188.0,152.0,66.0,1.04,Strength,15.0,3.6,5,Advanced,24.4,6.0,0.7049180327868853,4.229508196721311,330.8,0,1.2966130032189054,1.0566282183377047,0.7640754570376422
48,Male,75.2,1.68,181.0,141.0,68.0,1.05,Cardio,15.8,3.4,5,Expert,26.8,7.0,0.6460176991150443,4.522123893805309,357.1,3,1.2733539183221945,-0.5158596103533674,0.8203786127638737
32,Male,57.7,1.55,189.0,139.0,76.0,0.25,Yoga,21.7,3.1,3,Beginner,24.1,3.0,0.5575221238938053,1.672566371681416,24.1,1,-2.0342479647450395,0.0788409167969015,-1.1502262964476209
25,Female,39.8,1.49,197.0,154.0,76.0,0.71,Cardio,21.8,3.6,4,Advanced,18.0,7.0,0.6446280991735537,4.512396694214876,127.5,0,-0.6724141466921276,1.4787430301667586,-3.3061124336525736
31,Male,52.5,1.57,185.0,148.0,81.0,0.6,Cardio,28.8,2.2,3,Beginner,21.4,7.0,0.6442307692307693,4.509615384615385,142.1,1,-2.807659327769583,0.1321326321668574,-1.7746594264424336
40,Female,72.9,1.9,187.0,170.0,75.0,0.44,HIIT,22.1,2.6,2,Beginner,20.2,9.5,0.8482142857142857,8.058035714285714,258.5,2,-2.52432100257749,0.6062868703433267,0.5316534194736954
57,Female,65.4,1.75,166.0,125.0,76.0,0.66,Yoga,27.3,4.2,3,Beginner,21.3,3.0,0.5444444444444444,1.6333333333333333,70.5,1,-0.8748736325688922,-2.6359743619289437,-0.22007633626040904
38,Female,90.0,1.7,189.0,150.0,61.0,0.93,Strength,18.1,4.1,4,Advanced,31.2,6.0,0.6953125,4.171875,349.2,3,1.155053131214869,0.6877163957672461,2.3128635578924284
33,Male,78.7,1.66,186.0,147.0,76.0,0.64,Cardio,22.3,2.9,3,Beginner,28.5,7.0,0.6454545454545455,4.5181818181818185,227.6,2,-1.6507289647807601,0.2851096334266311,1.106733547901351
35,Female,70.6,1.66,185.0,143.0,65.0,0.92,Cardio,22.7,2.4,3,Intermediate,25.8,7.0,0.65,4.55,295.5,2,-0.6117075235665742,0.1090911586330545,0.2631705987103948
41,Male,88.0,1.8,172.0,127.0,72.0,1.0,Yoga,22.7,4.3,5,Advanced,27.2,3.0,0.55,1.65,145.2,3,1.0184291205555118,-1.113974910162834,2.1054627336079004
43,Female,47.9,1.63,186.0,149.0,63.0,1.25,Strength,15.3,4.8,6,Advanced,18.0,6.0,0.6991869918699187,4.195121951219512,251.2,0,2.8259436458486142,0.36835974616843115,-2.183276920260802
42,Male,81.3,1.74,180.0,144.0,62.0,1.42,Strength,10.5,4.7,7,Expert,26.9,6.0,0.6949152542372882,4.169491525423729,481.4,3,3.804147206340807,0.21386411819350862,1.4582296670670738
58,Male,75.1,1.65,171.0,139.0,64.0,0.52,Strength,29.1,3.2,3,Beginner,27.8,6.0,0.7009345794392523,4.205607476635514,164.2,1,-1.1565694612186872,-1.9636249514297106,0.8116027521082818
46,Male,63.2,1.87,172.0,136.0,69.0,1.27,Cardio,18.2,3.7,3,Intermediate,18.0,7.0,0.6504854368932039,4.553398058252427,365.5,3,0.9516437007758293,-1.1306876570197284,-0.31301497421060037
32,Female,83.3,1.75,190.0,171.0,58.0,1.09,HIIT,16.8,3.4,6,Expert,27.1,9.5,0.8560606060606061,8.132575757575758,738.4,0,1.7239011754020659,1.8388585309135868,1.5236875849185114
18,Male,59.6,1.8,205.0,149.0,80.0,0.43,Yoga,25.3,3.5,2,Beginner,18.3,3.0,0.552,1.656,42.4,2,-2.5567453644201343,1.8142739451274803,-0.889294661250953
42,Male,47.3,1.62,180.0,146.0,68.0,1.22,Strength,25.8,4.2,5,Advanced,18.0,6.0,0.6964285714285714,4.178571428571429,241.1,0,1.2148723877211431,-0.2096506906014413,-2.2644345383348905
24,Female,93.5,1.79,194.0,177.0,80.0,0.41,HIIT,34.9,2.4,3,Beginner,29.3,9.5,0.8508771929824561,8.083333333333334,309.9,2,-3.826989777415407,1.8733946128785341,2.4787346066772065
26,Female,54.3,1.65,192.0,154.0,67.0,1.03,Strength,23.0,4.1,5,Advanced,20.0,6.0,0.696,4.176,233.6,0,0.8549728676673758,1.4289670193280362,-1.5175184688571326
41,Male,60.4,1.69,177.0,140.0,71.0,0.99,Cardio,17.4,3.3,5,Advanced,21.1,7.0,0.6509433962264151,4.556603773584905,272.5,3,0.8260573982845443,-0.5029215824375277,-0.7958682377299324
18,Female,95.0,1.84,205.0,162.0,62.0,1.31,Strength,15.2,4.0,5,Expert,28.0,6.0,0.6993006993006993,4.195804195804196,522.2,0,1.8848848364343047,3.0129041291337426,2.663714013824813
25,Female,56.6,1.58,192.0,147.0,63.0,0.78,Cardio,17.5,2.5,5,Intermediate,22.8,7.0,0.6511627906976745,4.558139534883721,201.2,0,0.19127464179279752,1.1738860478962179,-1.2906851663014396
41,Female,67.3,1.7,169.0,122.0,65.0,1.07,Yoga,24.3,4.2,6,Advanced,23.3,3.0,0.5480769230769231,1.6442307692307694,118.4,3,1.739228039104194,-1.3972196087644735,-0.02387117010388709
28,Male,68.9,1.72,192.0,151.0,75.0,0.25,Cardio,26.2,2.1,2,Beginner,23.2,7.0,0.6495726495726496,4.547008547008547,78.3,2,-3.26223125429071,0.6889471963429927,-0.007502070416900967
34,Female,76.2,1.73,186.0,147.0,55.0,0.74,Strength,30.6,3.2,4,Intermediate,25.4,6.0,0.7022900763358778,4.213740458015267,237.6,2,-0.1935392058655774,0.372306224905805,0.7996250389755111
25,Male,61.7,1.63,193.0,161.0,65.0,0.93,Mixed,29.2,4.5,3,Intermediate,23.1,8.0,0.75,6.0,344.3,0,-0.1480498683737595,1.6327367952920444,-0.7435827975575061
52,Female,87.2,1.89,165.0,152.0,80.0,0.89,HIIT,26.1,3.5,4,Intermediate,24.5,9.5,0.8470588235294118,8.047058823529412,624.5,1,-0.8587184306725333,-1.4103381836303994,2.0022662697537066
52,Female,52.9,1.55,167.0,132.0,69.0,0.52,Cardio,22.0,3.2,3,Intermediate,22.0,7.0,0.6428571428571429,4.5,123.8,1,-0.7127069581231537,-2.080896285471183,-1.6653555434162
50,Male,84.7,1.83,163.0,127.0,59.0,1.13,Cardio,15.9,3.4,7,Expert,25.4,7.0,0.6538461538461539,4.576923076923077,438.1,3,2.7348007732218917,-1.7616628116845692,1.8117640011454081
22,Female,82.0,1.8,205.0,170.0,64.0,0.62,Mixed,32.7,3.8,3,Beginner,25.3,8.0,0.75177304964539,6.01418439716312,305.8,2,-1.6070001121654751,2.5075247886519727,1.3273093489618502
59,Female,104.9,1.87,162.0,134.0,68.0,0.25,Strength,28.9,2.5,3,Beginner,31.6,6.0,0.7021276595744681,4.212765957446809,116.4,1,-2.175590175636338,-2.689584408135372,3.910326344269332
56,Female,52.0,1.52,165.0,149.0,62.0,1.33,HIIT,11.0,3.9,7,Expert,22.5,9.5,0.8446601941747572,8.024271844660193,555.0,3,3.324165497827977,-1.1844528963016678,-1.7220676312421632
58,Female,59.0,1.59,167.0,152.0,68.0,0.77,HIIT,23.6,3.7,4,Intermediate,23.3,9.5,0.8484848484848485,8.06060606060606,366.2,1,0.02593955276445542,-1.570262675216543,-0.9715802964486575
45,Male,83.5,1.83,189.0,170.0,64.0,0.72,HIIT,22.4,3.6,4,Intermediate,25.0,9.5,0.848,8.056,484.3,2,-0.1173484075809656,0.8099181932683707,1.5771496330729655
24,Male,62.0,1.49,194.0,177.0,81.0,0.7,HIIT,21.3,2.9,3,Beginner,27.9,9.5,0.8495575221238938,8.070796460176991,350.3,2,-2.11469336839548,2.0845258097502306,-0.6588438680948644
26,Male,45.3,1.52,196.0,140.0,71.0,0.27,Yoga,27.7,3.7,3,Beginner,19.6,3.0,0.552,1.656,20.3,2,-1.8545700386857915,0.712195648044243,-2.6337009482878986
25,Male,65.0,1.63,199.0,153.0,68.0,0.76,Cardio,18.2,3.1,3,Beginner,24.4,7.0,0.648854961832061,4.541984732824427,224.4,2,-0.7078421155413263,1.6148585228406827,-0.39397849462780327
29,Male,52.0,1.7,194.0,141.0,75.0,0.67,Yoga,26.5,3.5,2,Beginner,18.0,3.0,0.5546218487394958,1.6638655462184877,58.0,2,-1.7605240538818019,0.5390450549937212,-1.7348561046575823
51,Male,77.5,1.84,174.0,125.0,66.0,0.44,Yoga,18.8,3.8,5,Intermediate,22.9,3.0,0.5462962962962963,1.6388888888888888,55.9,3,0.4810410418655588,-1.7178074776416865,1.0689556945086862
50,Male,78.1,1.66,175.0,140.0,61.0,0.98,Strength,13.8,3.8,7,Advanced,28.3,6.0,0.6929824561403509,4.157894736842105,318.2,3,2.5283401259494407,-0.7642508055692756,1.1382227391207271
40,Female,55.3,1.62,178.0,137.0,60.0,1.32,Cardio,18.8,3.6,6,Expert,21.1,7.0,0.652542372881356,4.567796610169491,333.4,3,2.386845963881833,-0.31175705655290187,-1.367288541995829
41,Male,72.3,1.71,185.0,151.0,72.0,0.41,Strength,26.2,3.1,2,Beginner,24.7,6.0,0.6991150442477876,4.1946902654867255,124.3,2,-2.2062019450486314,-0.15909026534605228,0.40157815593008395
54,Male,65.3,1.73,165.0,121.0,67.0,0.43,Yoga,15.3,3.3,3,Beginner,21.9,3.0,0.5510204081632653,1.6530612244897958,46.4,1,-0.25428124852585626,-2.5616523794897903,-0.21189890585970872
52,Male,61.1,1.72,169.0,140.0,73.0,0.69,Strength,16.6,3.3,3,Intermediate,20.6,6.0,0.6979166666666666,4.1875,176.5,1,-0.3035546127251048,-1.6139552446686365,-0.6896440302804128
57,Female,77.0,1.66,166.0,127.0,79.0,0.25,Yoga,33.4,3.2,3,Beginner,27.9,3.0,0.5517241379310345,1.6551724137931034,31.9,1,-2.717395830681207,-2.7854656996813634,0.9688476117997821
39,Male,43.7,1.48,177.0,149.0,64.0,0.92,Mixed,8.0,4.4,7,Advanced,19.8,8.0,0.7522123893805309,6.017699115044247,241.9,0,2.90191748541475,0.16392679170636612,-2.760791592738644
44,Male,63.5,1.59,178.0,131.0,73.0,0.95,Yoga,24.4,4.0,4,Intermediate,25.2,3.0,0.5523809523809524,1.6571428571428573,100.0,1,0.19304092549182178,-1.0114907035089327,-0.42568857657792003
52,Male,83.8,1.82,171.0,132.0,58.0,1.31,Cardio,8.0,3.5,5,Expert,25.2,7.0,0.6548672566371682,4.5840707964601775,503.2,3,3.0449496140004784,-1.2474802089843213,1.684376411338595
18,Female,59.4,1.7,193.0,154.0,65.0,0.27,Strength,21.6,3.5,3,Beginner,20.6,6.0,0.6953125,4.171875,66.9,2,-1.3704875976137925,1.5669583383616401,-0.9867474218917095
52,Male,66.9,1.65,175.0,161.0,79.0,0.35,HIIT,24.1,3.1,3,Beginner,24.6,9.5,0.8541666666666666,8.114583333333332,190.0,1,-2.263865697309031,-0.8556543369324769,-0.1397869565253537
54,Female,65.0,1.79,162.0,149.0,75.0,1.03,HIIT,29.7,3.9,3,Beginner,20.3,9.5,0.8505747126436781,8.080459770114942,541.0,1,-0.756260627930536,-1.8207979620775854,-0.24830841386338942
31,Female,64.1,1.57,190.0,150.0,76.0,0.5,Cardio,36.2,2.5,2,Beginner,26.1,7.0,0.6491228070175439,4.543859649122807,145.6,2,-3.426240143268549,0.36404994310596855,-0.48172659751533803
20,Female,51.5,1.66,205.0,163.0,64.0,0.9,Strength,17.6,3.9,4,Advanced,18.7,6.0,0.7021276595744681,4.212765957446809,195.3,0,0.6503726546191059,2.6385539860870257,-1.856913471055711
18,Female,65.0,1.69,205.0,183.0,59.0,0.84,HIIT,16.2,3.6,7,Expert,22.6,9.5,0.8493150684931506,8.068493150684931,440.5,0,1.4835020940793449,3.5998537874209067,-0.4335098190085921
22,Male,61.5,1.64,203.0,165.0,76.0,0.63,Strength,26.4,3.3,2,Beginner,23.0,6.0,0.7007874015748031,4.2047244094488185,162.9,2,-2.300752319155081,2.1288577144894076,-0.7832919011761327
43,Female,81.3,1.69,183.0,167.0,76.0,0.63,HIIT,25.4,3.3,2,Beginner,28.5,9.5,0.8504672897196262,8.07943925233645,413.8,2,-2.116015743741806,0.2531496460235681,1.3509316408280692
31,Female,67.8,1.66,187.0,150.0,81.0,0.57,Cardio,29.2,3.1,2,Beginner,24.6,7.0,0.6509433962264151,4.556603773584905,176.1,2,-2.793590346524976,0.3264272863772801,-0.09441443440669765
56,Male,66.0,1.54,159.0,146.0,72.0,0.94,HIIT,19.4,3.6,3,Intermediate,27.8,9.5,0.8505747126436781,8.080459770114942,501.3,1,0.11008126994587492,-1.997602080540237,-0.10237231763952581
44,Female,75.6,1.7,178.0,163.0,76.0,0.77,HIIT,27.6,3.2,5,Intermediate,26.2,9.5,0.8529411764705882,8.102941176470589,471.7,2,-0.9733459390756072,-0.03305135061708493,0.7756585026875787
26,Female,62.7,1.55,198.0,179.0,73.0,0.94,HIIT,23.7,3.4,5,Advanced,26.2,9.5,0.848,8.056,474.8,2,-0.3484854742928681,2.47293555191416,-0.6167193967383376
32,Female,65.3,1.7,194.0,146.0,57.0,1.0,Cardio,20.5,3.5,6,Advanced,22.7,7.0,0.6496350364963503,4.547445255474452,296.9,0,1.634991156183163,1.0819176989321244,-0.30142812483483844
32,Female,92.8,1.82,192.0,140.0,76.0,0.65,Yoga,22.1,4.1,5,Intermediate,28.1,3.0,0.5517241379310345,1.6551724137931034,99.8,2,-0.25894570523105903,0.5875878892133943,2.5171965076530003
43,Female,61.6,1.65,175.0,144.0,73.0,1.12,Strength,20.5,4.6,5,Intermediate,22.6,6.0,0.696078431372549,4.1764705882352935,288.1,3,1.2122173047556692,-0.5183706541796842,-0.662214898147317
